filename,text,emotion,processed_text
Ses01F_impro01_F000,Excuse me.,neu,excuse me .
Ses01F_impro01_M000,Do you have your forms?,fru,do you have your forms ?
Ses01F_impro01_F001,Yeah.,neu,yeah .
Ses01F_impro01_M001,Let me see them.,fru,let me see them .
Ses01F_impro01_F002,Is there a problem?,neu,is there a problem ?
Ses01F_impro01_M002,Who told you to get in this line?,fru,who told you to get in this line ?
Ses01F_impro01_F003,You did.,xxx,you did .
Ses01F_impro01_F004,You were standing at the beginning and you directed me.,xxx,you were standing at the beginning and you directed me .
Ses01F_impro01_M003,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,fru,okay . but i didn t tell you to get in this line if you are filling out this particular form .
Ses01F_impro01_F005,Well what's the problem?  Let me change it.,neu,well what s the problem ? let me change it .
Ses01F_impro01_M004,This form is a Z.X.four.,fru,this form is a z .x .four .
Ses01F_impro01_M005,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",fru,you can t this is not the line for z .x .four . if you re going to fill out the z .x .four you need to have a different form of id .
Ses01F_impro01_F006,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,fru,what ? i m getting an id . this is why i m here . my wallet was stolen .
Ses01F_impro01_M006,No. I need another set of ID to prove this is actually you.,fru,no . i need another set of id to prove this is actually you .
Ses01F_impro01_F007,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,fru,how am i supposed to get an id without an id ? how does a person get an id in the first place ?
Ses01F_impro01_M007,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,fru,i don t know . but i need an id to pass this form along . i can t just send it along without an id .
Ses01F_impro01_F008,I'm here to get an ID.,fru,i m here to get an id .
Ses01F_impro01_M008,"No.  I need another ID, a separate one.",fru,no . i need another id a separate one .
Ses01F_impro01_F009,Like what?  Like a birth certificate?,fru,like what ? like a birth certificate ?
Ses01F_impro01_M009,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",fru,a birth certificate a passport . . .a student id didn t you go to school ? anything ?
Ses01F_impro01_F010,Who the hell has a birth certificate?,xxx,who the hell has a birth certificate ?
Ses01F_impro01_F011,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",fru,yes but my wallet was stolen i don t have anything . i don t have any credit cards i don t have my id . don t you have things on file here ?
Ses01F_impro01_M010,"Yeah.  We keep it on file, but we need an ID to access that file.",fru,yeah . we keep it on file but we need an id to access that file .
Ses01F_impro01_F012,That's out of control.,ang,that s out of control .
Ses01F_impro01_M011,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,ang,i don t understand why this is so complicated for people when they get here . it s just a simple form . i just need an id .
Ses01F_impro01_F013,How long have you been working here?,fru,how long have you been working here ?
Ses01F_impro01_M012,Actually too long.,xxx,actually too long .
