,filename,text,emotion,processed_text,AWL,ASL,NOW,NVB,NAJ,NPV,NST,CDV,NTP,TPR
0,Ses01F_impro01_F000,Excuse me.,neu,excuse me .,3.0,3.0,3,0,0,0,1,3.0,0,0.0
1,Ses01F_impro01_M000,Do you have your forms?,fru,do you have your forms ?,3.1666666666666665,6.0,6,2,0,0,1,6.0,0,0.0
2,Ses01F_impro01_F001,Yeah.,neu,yeah .,2.5,2.0,2,0,0,0,1,0.0,0,0.0
3,Ses01F_impro01_M001,Let me see them.,fru,let me see them .,2.6,5.0,5,2,0,0,1,0.0,0,0.0
4,Ses01F_impro01_F002,Is there a problem?,neu,is there a problem ?,3.2,5.0,5,1,0,0,1,5.0,0,0.0
5,Ses01F_impro01_M002,Who told you to get in this line?,fru,who told you to get in this line ?,2.888888888888889,9.0,9,2,0,0,1,4.5,0,0.0
6,Ses01F_impro01_F003,You did.,xxx,you did .,2.3333333333333335,3.0,3,1,0,0,1,0.0,0,0.0
7,Ses01F_impro01_F004,You were standing at the beginning and you directed me.,xxx,you were standing at the beginning and you directed me .,4.181818181818182,11.0,11,3,0,0,1,3.6666666666666665,0,0.0
8,Ses01F_impro01_M003,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,fru,okay . but i didn t tell you to get in this line if you are filling out this particular form .,3.3181818181818183,11.0,22,5,2,0,2,5.5,0,0.0
9,Ses01F_impro01_F005,Well what's the problem?  Let me change it.,neu,well what s the problem ? let me change it .,3.090909090909091,5.5,11,3,0,0,2,5.5,0,0.0
10,Ses01F_impro01_M004,This form is a Z.X.four.,fru,this form is a z .x .four .,2.5,8.0,8,1,0,0,1,4.0,0,0.0
11,Ses01F_impro01_M005,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",fru,you can t this is not the line for z .x .four . if you re going to fill out the z .x .four you need to have a different form of id .,2.911764705882353,17.0,34,8,1,0,2,4.857142857142857,0,0.0
12,Ses01F_impro01_F006,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,fru,what ? i m getting an id . this is why i m here . my wallet was stolen .,2.65,5.0,20,4,2,1,4,6.666666666666667,0,0.0
13,Ses01F_impro01_M006,No. I need another set of ID to prove this is actually you.,fru,no . i need another set of id to prove this is actually you .,3.1333333333333333,7.5,15,4,0,0,2,5.0,0,0.0
14,Ses01F_impro01_F007,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,fru,how am i supposed to get an id without an id ? how does a person get an id in the first place ?,3.0,12.0,24,5,1,1,2,4.0,0,0.0
15,Ses01F_impro01_M007,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,fru,i don t know . but i need an id to pass this form along . i can t just send it along without an id .,2.740740740740741,9.0,27,6,2,0,3,5.4,0,0.0
16,Ses01F_impro01_F008,I'm here to get an ID.,fru,i m here to get an id .,2.0,8.0,8,1,0,0,1,8.0,0,0.0
17,Ses01F_impro01_M008,"No.  I need another ID, a separate one.",fru,no . i need another id a separate one .,3.0,5.0,10,3,1,0,2,5.0,0,0.0
18,Ses01F_impro01_F009,Like what?  Like a birth certificate?,fru,like what ? like a birth certificate ?,3.875,4.0,8,0,0,0,2,4.0,0,0.0
19,Ses01F_impro01_M009,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",fru,a birth certificate a passport . . .a student id didn t you go to school ? anything ?,3.526315789473684,9.5,19,1,1,0,2,3.1666666666666665,0,0.0
20,Ses01F_impro01_F010,Who the hell has a birth certificate?,xxx,who the hell has a birth certificate ?,3.875,8.0,8,1,0,0,1,2.6666666666666665,0,0.0
21,Ses01F_impro01_F011,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",fru,yes but my wallet was stolen i don t have anything . i don t have any credit cards i don t have my id . don t you have things on file here ?,3.0285714285714285,11.666666666666666,35,11,2,1,3,5.0,0,0.0
22,Ses01F_impro01_M010,"Yeah.  We keep it on file, but we need an ID to access that file.",fru,yeah . we keep it on file but we need an id to access that file .,2.8823529411764706,8.5,17,2,0,0,2,4.25,0,0.0
